Thread,Tipo,Run,Tempo,Throughput,Speedup
1,AOS,1,1.36412,2.17432e+06,1.0
1,SOA,1,1.61567,1.83579e+06,1.0
1,AOS,2,1.13018,2.6244e+06,1.0
1,SOA,2,1.52624,1.94336e+06,1.0
1,AOS,3,1.11207,2.66713e+06,1.0
1,SOA,3,1.51313,1.9602e+06,1.0
1,AOS,4,1.22704,2.41724e+06,1.0
1,SOA,4,1.51747,1.95459e+06,1.0
1,AOS,5,1.11174,2.66792e+06,1.0
1,SOA,5,1.68228,1.7631e+06,1.0
1,AOS,6,1.11651,2.65652e+06,1.0
1,SOA,6,1.51879,1.95289e+06,1.0
1,AOS,7,1.11562,2.65864e+06,1.0
1,SOA,7,1.52486,1.94512e+06,1.0
1,AOS,8,1.25583,2.36181e+06,1.0
1,SOA,8,1.50968,1.96468e+06,1.0
1,AOS,9,1.10924,2.67394e+06,1.0
1,SOA,9,1.51722,1.95491e+06,1.0
1,AOS,10,1.1108,2.67018e+06,1.0
1,SOA,10,1.51866,1.95306e+06,1.0
2,AOS,1,0.341372,8.68858e+06,3.41362
2,SOA,1,0.33182,8.9387e+06,4.65434
2,AOS,2,0.28213,1.0513e+07,4.13042
2,SOA,2,0.328933,9.01714e+06,4.69519
2,AOS,3,0.331593,8.94481e+06,3.51429
2,SOA,3,0.330884,8.96398e+06,4.66751
2,AOS,4,0.307731,9.6384e+06,3.78679
2,SOA,4,0.34142,8.68736e+06,4.52347
2,AOS,5,0.336971,8.80204e+06,3.4582
2,SOA,5,0.331957,8.935e+06,4.65241
2,AOS,6,0.325793,9.10406e+06,3.57686
2,SOA,6,0.278917,1.06341e+07,5.53713
2,AOS,7,0.27549,1.07664e+07,4.22997
2,SOA,7,0.280499,1.05741e+07,5.50591
2,AOS,8,0.276196,1.07389e+07,4.21917
2,SOA,8,0.28308,1.04777e+07,5.4557
2,AOS,9,0.28004,1.05915e+07,4.16125
2,SOA,9,0.280556,1.0572e+07,5.50478
2,AOS,10,0.276577,1.07241e+07,4.21335
2,SOA,10,0.335659,8.83645e+06,4.6011
4,AOS,1,0.152303,1.94746e+07,7.65131
4,SOA,1,0.147937,2.00494e+07,10.4396
4,AOS,2,0.144871,2.04736e+07,8.04379
4,SOA,2,0.148631,1.99557e+07,10.3908
4,AOS,3,0.148284,2.00024e+07,7.85868
4,SOA,3,0.14871,1.99451e+07,10.3853
4,AOS,4,0.145982,2.03178e+07,7.98259
4,SOA,4,0.149004,1.99058e+07,10.3648
4,AOS,5,0.146661,2.02237e+07,7.94563
4,SOA,5,0.149338,1.98612e+07,10.3416
4,AOS,6,0.146541,2.02404e+07,7.95217
4,SOA,6,0.146032,2.03108e+07,10.5758
4,AOS,7,0.149509,1.98385e+07,7.79426
4,SOA,7,0.147276,2.01394e+07,10.4865
4,AOS,8,0.172179,1.72265e+07,6.76806
4,SOA,8,0.147951,2.00474e+07,10.4386
4,AOS,9,0.171553,1.72894e+07,6.79275
4,SOA,9,0.152733,1.94197e+07,10.1118
4,AOS,10,0.171558,1.72888e+07,6.79253
4,SOA,10,0.149897,1.97872e+07,10.3031
8,AOS,1,0.121022,2.45083e+07,9.62895
8,SOA,1,0.119768,2.47649e+07,12.895
8,AOS,2,0.118663,2.49955e+07,9.82037
8,SOA,2,0.119064,2.49114e+07,12.9712
8,AOS,3,0.121378,2.44363e+07,9.6007
8,SOA,3,0.124301,2.38616e+07,12.4247
8,AOS,4,0.121704,2.43709e+07,9.57501
8,SOA,4,0.121185,2.44754e+07,12.7442
8,AOS,5,0.121168,2.44786e+07,9.61732
8,SOA,5,0.122148,2.42823e+07,12.6437
8,AOS,6,0.121105,2.44915e+07,9.62236
8,SOA,6,0.122133,2.42853e+07,12.6452
8,AOS,7,0.121944,2.43229e+07,9.55612
8,SOA,7,0.122961,2.41218e+07,12.5601
8,AOS,8,0.120168,2.46825e+07,9.69739
8,SOA,8,0.122294,2.42534e+07,12.6286
8,AOS,9,0.123178,2.40792e+07,9.46038
8,SOA,9,0.120766,2.45602e+07,12.7884
8,AOS,10,0.117386,2.52674e+07,9.92721
8,SOA,10,0.123466,2.40231e+07,12.5087
16,AOS,1,0.118375,2.50562e+07,9.84424
16,SOA,1,0.115385,2.57056e+07,13.3848
16,AOS,2,0.12346,2.40243e+07,9.43883
16,SOA,2,0.124534,2.38171e+07,12.4015
16,AOS,3,0.125843,2.35694e+07,9.26008
16,SOA,3,0.116963,2.53588e+07,13.2042
16,AOS,4,0.116239,2.55168e+07,10.0252
16,SOA,4,0.117704,2.5199e+07,13.121
16,AOS,5,0.122953,2.41233e+07,9.4777
16,SOA,5,0.12098,2.45167e+07,12.7657
16,AOS,6,0.127875,2.31949e+07,9.11295
16,SOA,6,0.125887,2.3561e+07,12.2681
16,AOS,7,0.118449,2.50407e+07,9.83814
16,SOA,7,0.123865,2.39457e+07,12.4684
16,AOS,8,0.119312,2.48595e+07,9.76694
16,SOA,8,0.123277,2.40599e+07,12.5279
16,AOS,9,0.125806,2.35763e+07,9.2628
16,SOA,9,0.124032,2.39135e+07,12.4517
16,AOS,10,0.119656,2.47879e+07,9.73883
16,SOA,10,0.115217,2.57429e+07,13.4042
32,AOS,1,0.163766,1.81115e+07,7.11574
32,SOA,1,0.120906,2.45317e+07,12.7736
32,AOS,2,0.116505,2.54584e+07,10.0022
32,SOA,2,0.135498,2.18899e+07,11.398
32,AOS,3,0.145444,2.03929e+07,8.01209
32,SOA,3,0.152813,1.94096e+07,10.1065
32,AOS,4,0.133619,2.21976e+07,8.72115
32,SOA,4,0.146079,2.03044e+07,10.5724
32,AOS,5,0.140926,2.10468e+07,8.26901
32,SOA,5,0.130487,2.27305e+07,11.8357
32,AOS,6,0.114102,2.59945e+07,10.2129
32,SOA,6,0.120811,2.4551e+07,12.7836
32,AOS,7,0.12928,2.29428e+07,9.01391
32,SOA,7,0.142831,2.07661e+07,10.8128
32,AOS,8,0.136678,2.17008e+07,8.52596
32,SOA,8,0.126333,2.34779e+07,12.2248
32,AOS,9,0.131894,2.2488e+07,8.83521
32,SOA,9,0.148797,1.99334e+07,10.3792
32,AOS,10,0.128498,2.30824e+07,9.06874
32,SOA,10,0.12358,2.4001e+07,12.4972
64,AOS,1,0.113262,2.61873e+07,10.2886
64,SOA,1,0.200322,1.48063e+07,7.70959
64,AOS,2,0.134635,2.20302e+07,8.65536
64,SOA,2,0.152996,1.93863e+07,10.0944
64,AOS,3,0.165785,1.78909e+07,7.02908
64,SOA,3,0.115753,2.56238e+07,13.3422
64,AOS,4,0.142126,2.0869e+07,8.19915
64,SOA,4,0.152712,1.94224e+07,10.1132
64,AOS,5,0.122247,2.42627e+07,9.53247
64,SOA,5,0.189645,1.56399e+07,8.14364
64,AOS,6,0.146216,2.02853e+07,7.96982
64,SOA,6,0.125629,2.36095e+07,12.2934
64,AOS,7,0.126095,2.35223e+07,9.24158
64,SOA,7,0.144437,2.05351e+07,10.6926
64,AOS,8,0.108959,2.72217e+07,10.695
64,SOA,8,0.125827,2.35723e+07,12.274
64,AOS,9,0.115626,2.5652e+07,10.0783
64,SOA,9,0.15728,1.88584e+07,9.81947
64,AOS,10,0.149628,1.98228e+07,7.7881
64,SOA,10,0.120798,2.45536e+07,12.7849
